,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg prob,logreg,rf,avg,init_price,max_price,cur_price,% to max,% to last
261,HIVEBTC,-0.218636272,-1.156599945,4,88,-84,-0.059544855,-2.184917943,-2.125373088,22.77227723,22.34804063,0.424236598,23.5793271,-0.789102243,2.346306542,0.489084191,0.537479034,0.465692715,0.639282426,0.676778911,1,0.634719546,0.966598588,1,0.983299294,6.25E-06,6.30E-06,6.27E-06,0.80%,0.32%
541,UFTUSDT,1.438489826,-0.422306458,76,0,76,-0.182376512,4.207506289,4.389882802,37.61904762,41.53439153,-3.915343915,51.63853374,0.453694288,2.779079877,0.479073082,0.77521556,0.522664901,0.632940406,0.538162255,0.83800578,0.631010331,0.966353602,1,0.983176801,0.4128,0.4514,0.4393,9.35%,6.42%
272,IDBTC,-1.738196277,0.011057999,64,48,16,0.083555854,4.739019722,4.655463868,66.25463535,63.41161928,2.843016069,65.48483452,-0.344434554,3.361036844,0.665511385,0.551907264,0.456189115,0.632940406,0.426963952,1,0.62225202,0.96389727,1,0.981948635,1.21E-05,1.21E-05,1.17E-05,0.00%,-3.79%
418,PLAUSDT,-1.047911183,0.087366666,0,84,-84,-0.67924754,-7.850116933,-7.170869393,14.36170213,13.20921986,1.15248227,28.12549301,0.13659465,2.346306542,0.529956295,0.632940406,0.515881873,0.592184119,0.518703376,0.873376257,0.610507054,0.942948484,1,0.971474242,0,0,0,#DIV/0!,#DIV/0!
170,DOGEBTC,-0.805343521,-0.108733274,0,84,-84,-0.452608112,-3.883308378,-3.430700266,7.692307692,8.73694207,-1.044634378,26.00717025,-0.723321002,2.346306542,0.491529617,0.390420111,0.529840888,0.636649746,0.637439992,1,0.614313392,0.942475384,1,0.971237692,1.61E-06,1.63E-06,1.62E-06,1.24%,0.62%
310,LAZIOBTC,-0.811356519,-0.665856852,8,88,-80,-0.359801574,-1.003572786,-0.643771212,42.02780049,38.06336007,3.964440424,48.74970625,-0.722649978,2.346306542,0.503158769,0.449435061,0.521461371,0.544166406,0.514455241,1,0.588779475,0.920576467,1,0.960288234,5.18E-05,5.31E-05,5.30E-05,2.69%,2.42%
292,JSTBTC,-0.221653766,0.377511278,4,76,-72,-0.033674237,-2.045870082,-2.012195845,27.27272727,27.27272727,-1.42E-14,44.23080842,-0.597600789,2.346306542,0.489267996,0.496876645,0.466497677,0.674184735,0.474771839,0.77521556,0.562802409,0.886944588,1,0.943472294,6.60E-07,6.60E-07,6.50E-07,0.00%,-1.52%
104,BONDUSDT,0.340787881,0.40099559,88,0,88,1.065247473,1.073269939,0.008022467,36.54652137,42.44202291,-5.895501537,54.93318913,0.169173779,2.346306542,0.544439124,0.455795051,0.571986293,0.659852077,0.543473445,0.77521556,0.591793592,0.886500295,1,0.943250147,3.557,4.261,4.063,19.79%,14.23%
236,GASBTC,-0.117465387,0.152633961,28,84,-56,0.090877501,-0.858249035,-0.949126537,47.36842105,48.91514501,-1.546723953,42.11186523,0.399401274,2.346306542,0.438809562,0.428684447,0.456142233,0.632940406,0.479634552,0.873376257,0.551597909,0.882827826,1,0.941413913,0.0001244,0.000125,0.0001249,0.48%,0.40%
495,STEEMBTC,-0.337386889,0.245101601,4,88,-84,0.137047126,-2.970972905,-3.108020031,34.375,35.94939782,-1.574397824,37.01159492,-0.598744323,2.346306542,0.507081629,0.454281446,0.44269978,0.660932918,0.503351736,0.77521556,0.557260512,0.865241325,1,0.932620663,4.61E-06,4.62E-06,4.62E-06,0.22%,0.22%
