,market,init_price,max_price,cur_price
0,1INCHBTC,8.52e-06,8.74e-06,8.73e-06
1,1INCHUSDT,0.4382,0.6382,0.6298
2,AAVEUSDT,93.04,133.91,130.08
3,ACABTC,2.18e-06,2.2e-06,2.18e-06
4,ACAUSDT,0.1126,0.1544,0.1324
5,ACEBTC,0.00019507,0.0002079,0.00019778
6,ACEUSDT,10.0602,13.9443,12.9998
7,ACHBTC,4.1e-07,4.1e-07,4.1e-07
8,ACHUSDT,0.02083,0.03527,0.03416
9,ACMUSDT,2.167,2.684,2.582
10,ADABTC,1.188e-05,1.224e-05,1.218e-05
11,ADAUSDT,0.6124,0.7963,0.7475
12,ADXBTC,3.79e-06,3.81e-06,3.81e-06
13,ADXUSDT,0.1947,0.2462,0.2383
14,AERGOBTC,2.7e-06,2.73e-06,2.72e-06
15,AERGOUSDT,0.1388,0.197,0.1741
16,AGIXBTC,8.97e-06,9.22e-06,8.63e-06
17,AGIXUSDT,0.46187,1.23036,1.18556
18,AGLDBTC,2.622e-05,2.712e-05,2.666e-05
19,AGLDUSDT,1.349,1.819,1.614
20,AIBTC,3.288e-05,3.599e-05,3.51e-05
21,AIUSDT,1.69454,2.179,2.008
22,AKROUSDT,0.005449,0.009721,0.007915
23,ALCXBTC,0.0005194,0.0005205,0.0005178
24,ALCXUSDT,26.71,35.45,33.26
25,ALGOBTC,3.69e-06,3.78e-06,3.78e-06
26,ALGOUSDT,0.1899,0.2814,0.2742
27,ALICEBTC,2.554e-05,2.661e-05,2.661e-05
28,ALICEUSDT,1.313,2.127,2.066
29,ALPACABTC,3.73e-06,3.78e-06,3.76e-06
30,ALPACAUSDT,0.1918,0.2323,0.2271
31,ALPHABTC,2.37e-06,2.45e-06,2.4e-06
32,ALPHAUSDT,0.1214,0.1768,0.1711
33,ALPINEBTC,4.243e-05,4.3e-05,4.3e-05
34,ALPINEUSDT,2.184,2.613,2.561
35,ALTBTC,8.15e-06,8.94e-06,8.77e-06
36,ALTUSDT,0.42092,0.58168,0.55407
37,AMPUSDT,0.003713,0.005899,0.005206
38,ANKRBTC,5.3e-07,5.6e-07,5.6e-07
39,ANKRUSDT,0.02736,0.05561,0.05058
40,APEBTC,3.186e-05,3.351e-05,3.319e-05
41,APEUSDT,1.641,2.458,2.24
42,API3BTC,7.923e-05,7.993e-05,7.949e-05
43,API3USDT,4.082,4.445,3.739
44,APTBTC,0.00018571,0.00018916,0.00018714
45,APTUSDT,9.5745,14.5184,13.3254
46,ARBBTC,3.799e-05,3.886e-05,3.886e-05
47,ARBUSDT,1.9565,2.2304,2.2304
48,ARKMBTC,1.803e-05,2.196e-05,1.968e-05
49,ARKMUSDT,0.9293,2.9813,2.858
50,ARPABTC,1.25e-06,1.31e-06,1.3e-06
51,ARPAUSDT,0.06441,0.07934,0.07414
52,ARBTC,0.0002434,0.0002434,0.0002345
53,ARUSDT,12.556,39.608,36.669
54,ASRUSDT,2.517,3.32,2.965
55,ASTRUSDT,0.1663,0.1767,0.1557
56,ASTBTC,2.19e-06,2.25e-06,2.23e-06
57,ATABTC,2.05e-06,2.08e-06,2.03e-06
58,ATAUSDT,0.1056,0.1715,0.1579
59,ATMUSDT,2.653,3.182,3.173
60,ATOMBTC,0.000199,0.0002012,0.0002009
61,ATOMUSDT,10.254,14.222,13.861
62,AUCTIONBTC,0.0006089,0.0006156,0.0006156
63,AUCTIONUSDT,31.4,35.73,27.72
64,AUDIOBTC,4.71e-06,4.86e-06,4.61e-06
65,AUDIOUSDT,0.243,0.3743,0.3162
66,AVAXBTC,0.0007612,0.0007785,0.0007783
67,AVAXUSDT,39.24,44.35,43.71
68,AVABTC,1.142e-05,1.159e-05,1.159e-05
69,AVAUSDT,0.5883,0.8782,0.8414
70,AXSBTC,0.0001528,0.0001569,0.0001569
71,AXSUSDT,7.88,11.349,10.827
72,BADGERBTC,8.53e-05,8.58e-05,8.32e-05
73,BADGERUSDT,4.398,6.59,5.644
74,BALBTC,7.79e-05,7.94e-05,7.94e-05
75,BALUSDT,4.021,5.899,5.873
76,BANDBTC,3.95e-05,4.063e-05,4.027e-05
77,BANDUSDT,2.037,2.605,2.571
78,BARUSDT,2.658,3.228,2.883
79,BATBTC,4.87e-06,5.13e-06,5.04e-06
