,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
0,0,10set,09-06-2022,0.27661005460358323,25-06-2022,3.7528809281921087,12.567406049539509,16,02-04-2021,433,bullish
2,2,aave,05-01-2021,75.0472309062878,13-02-2021,529.2602595240969,6.0523622675031055,48,03-10-2020,94,bullish
3,3,ach,28-07-2021,0.0013679780673833935,07-08-2021,0.1592295630836546,115.3977456072974,17,08-09-2020,323,bearish
6,6,ads,27-03-2019,0.013897870308420816,03-06-2019,0.8657571645595642,61.29423252244597,70,29-10-2017,514,bearish
7,7,ads,27-03-2021,0.03508579388428452,15-05-2021,0.5244206187079523,13.946807828761962,71,29-10-2017,1245,bullish
9,9,aergo,14-02-2021,0.04514335062007452,03-04-2021,0.4667702401564322,9.339734063710967,65,19-12-2018,788,bullish
10,10,agix,30-05-2021,0.037961099296640516,09-06-2021,0.8049102764458033,20.20355551760948,11,22-01-2018,1224,bearish
11,11,albt,18-12-2020,0.05990301816173516,29-01-2021,0.924022034007826,14.425300132841597,44,08-09-2020,101,bearish
15,15,alu,23-08-2021,0.004032089686909313,19-09-2021,0.060843516422808,14.089822188316926,37,30-04-2021,115,bearish
16,16,alu,21-10-2021,0.037772617907835725,03-11-2021,0.4265516558026806,10.292615641400774,21,30-04-2021,174,bearish
18,18,ama,06-04-2022,0.012567590796458543,21-04-2022,0.09301495960049468,6.401176654057325,36,15-05-2021,326,bullish
19,19,amp,31-01-2021,0.005663694500507119,14-02-2021,0.036486461115999326,5.4421661713449385,17,09-09-2020,144,bearish
20,20,ampl,03-11-2019,0.2266286924828529,18-11-2019,1.3914236080528777,5.13966216196634,24,29-06-2019,127,bearish
21,21,ankr,13-07-2020,0.0022970464983202697,11-08-2020,0.016571492285167192,6.214260702726394,56,07-03-2019,494,bullish
22,22,ankr,12-03-2021,0.015862826883237563,18-04-2021,0.19623403438127807,11.370684987342381,70,07-03-2019,736,bullish
23,23,ant,25-07-2020,1.350035379292816,27-08-2020,9.592579119875472,6.105427951747693,48,14-06-2017,1137,bullish
24,24,aog,15-03-2019,0.0037128856025825203,21-04-2019,0.20364014100588207,53.846866508421094,47,20-09-2018,176,bearish
25,25,aog,13-06-2019,0.0010001062925035925,27-06-2019,0.1675570785956834,166.53927042717962,45,20-09-2018,266,bearish
26,26,aog,07-10-2019,0.0020325624600752573,08-10-2019,0.026953660601759268,12.260926112332747,4,20-09-2018,382,bearish
27,27,aog,26-04-2020,0.0009846150519622005,07-05-2020,0.010191491303120087,9.350736851736997,24,20-09-2018,584,bearish
28,28,aog,05-07-2020,0.0044468050888544965,05-09-2020,0.11669359696826145,25.24212094673164,63,20-09-2018,654,bearish
30,30,aog,01-01-2022,0.008816380651928359,05-02-2022,0.2099371558438235,22.812170110634355,35,20-09-2018,1199,bearish
31,31,aog,24-03-2022,0.010534154511748892,08-04-2022,0.2289438885069673,20.733484946667808,19,20-09-2018,1281,bullish
32,32,aog,25-06-2022,0.012309262790571115,05-06-2022,0.21005308431105246,16.064635623179072,8,20-09-2018,1374,bearish
33,33,aqt,18-02-2021,1.760335045244017,03-04-2021,13.502677391090256,6.670515580298817,59,20-10-2020,121,bullish
34,34,ar,24-02-2021,4.79351941913387,01-04-2021,32.4557642370004,5.77075889323606,59,01-11-2019,481,bullish
35,35,ar,18-08-2021,7.3249903902277875,10-09-2021,65.59841044259375,7.955426143644923,51,01-11-2019,656,bullish
36,36,ardr,25-04-2017,0.019632,19-06-2017,0.280614,13.293704156479215,73,23-07-2016,276,bullish
37,37,ardr,01-12-2017,0.187266,13-01-2018,2.04358,9.912712398406542,62,23-07-2016,496,bullish
38,38,ark,19-07-2017,0.329784,15-09-2017,3.97,11.038182567983892,61,22-03-2017,119,bearish
40,40,arrr,05-04-2021,0.28379014165860245,24-04-2021,13.044486350181367,44.96525543115516,20,10-02-2019,785,bearish
42,42,asd,07-03-2019,0.015877215454892468,27-03-2019,0.2368306716079785,13.91638582853649,47,12-11-2018,115,bullish
44,44,ask,13-02-2021,0.0001863156748894076,10-03-2021,0.008451528792463919,44.361340625154256,32,17-09-2020,149,bearish
46,46,ast,06-08-2020,0.050258513164294534,18-08-2020,0.3146276128958527,5.260185450917311,21,22-10-2017,1019,bearish
47,47,atm,21-12-2020,3.937028780666792,30-12-2020,26.086615265347753,5.6259650916063695,19,22-06-2020,182,bullish
48,48,atm,12-05-2021,8.657104981685615,22-05-2021,52.248456545064535,5.035326665853981,27,22-06-2020,324,bearish
49,49,audio,10-02-2021,0.16896578108655974,28-03-2021,4.030578181657163,22.854405050170087,74,23-10-2020,110,bullish
50,50,ava,20-04-2019,0.015407512537370481,27-04-2019,0.17680774348968828,10.47542428155396,32,31-05-2018,324,bullish
51,51,ava,20-07-2020,0.2998034160031057,06-08-2020,2.0114519931190165,5.709236405425679,37,31-05-2018,781,bullish
52,52,avax,08-01-2021,2.9140658167284226,11-02-2021,55.51484730173893,18.05064977704059,42,22-09-2020,108,bullish
53,53,avax,17-08-2021,9.66826820995774,24-09-2021,76.35486767740508,6.897470986454858,65,22-09-2020,329,bullish
55,55,avinoc,10-06-2019,0.0008742584352521215,28-06-2019,0.00600416061030253,5.8677182492051445,22,10-08-2018,304,bearish
56,56,avinoc,03-09-2019,3.014038964175072e-05,28-09-2019,0.001899904477985132,62.03516645164296,25,10-08-2018,389,bearish
57,57,avinoc,31-12-2019,7.194624984529458e-05,02-02-2020,0.0036114280207291726,49.19619547224208,48,10-08-2018,508,bearish
