snapped_at,price,market_cap,total_volume
2021-05-10 00:00:00 UTC,4.901475536383567e-07,0.0,3629865.6164247105
2021-05-11 00:00:00 UTC,4.901475536383567e-07,0.0,3629865.6164247105
2021-05-12 00:00:00 UTC,1.3351677945578872e-06,0.0,3735822.7155900225
2021-05-13 00:00:00 UTC,2.611377889110491e-06,0.0,295662.3064848209
2021-05-14 00:00:00 UTC,2.856433156181795e-06,0.0,6266769.087375095
2021-05-15 00:00:00 UTC,3.696932065070243e-06,65248979.840268046,11185937.138486363
2021-05-16 00:00:00 UTC,2.769407227032239e-06,48734960.35535305,7361485.216321546
2021-05-17 00:00:00 UTC,1.916283757962149e-06,33510865.03513589,8215909.770145341
2021-05-18 00:00:00 UTC,1.1402435259434786e-06,25490074.411583614,2870736.742008751
2021-05-19 00:00:00 UTC,9.297093534213217e-07,16556813.702747032,765753.7226953901
2021-05-20 00:00:00 UTC,6.662985325052511e-07,12319074.763095431,3414652.113501863
2021-05-21 00:00:00 UTC,5.891773634474312e-07,11610071.172864733,3394433.7690543053
2021-05-22 00:00:00 UTC,4.4925504905654477e-07,8952683.442609904,1267973.946156176
2021-05-23 00:00:00 UTC,4.799568930513559e-07,9947081.053766793,793264.4169545241
2021-05-24 00:00:00 UTC,4.0020949928441163e-07,8350283.382881068,1562111.3690372072
2021-05-25 00:00:00 UTC,4.3706991620204605e-07,9771320.6842392,979211.0962014991
2021-05-26 00:00:00 UTC,3.703031736416233e-07,8188630.671285793,765251.8440101913
2021-05-27 00:00:00 UTC,3.3854931205898993e-07,7699833.092742808,745872.8146794419
2021-05-28 00:00:00 UTC,3.953694445251657e-07,8953249.949073112,1417223.0197826473
2021-05-29 00:00:00 UTC,3.5833943609812637e-07,8343102.5837828955,562307.194882206
2021-05-30 00:00:00 UTC,3.4569662160868974e-07,8369991.736096147,319397.94546646206
2021-05-31 00:00:00 UTC,3.5346833398248383e-07,8512043.650364714,481857.0876915891
2021-06-01 00:00:00 UTC,3.5262961584380907e-07,8600629.145796549,366264.51682063093
2021-06-02 00:00:00 UTC,3.3913463069383376e-07,8276210.126239507,1929129.0583730466
2021-06-03 00:00:00 UTC,3.3542908847274244e-07,8560984.98295447,2389218.0829662676
2021-06-04 00:00:00 UTC,4.1115700971986867e-07,10676533.452814277,3135875.9832669436
2021-06-05 00:00:00 UTC,3.5946362631262736e-07,9484743.90440067,2372420.333976051
2021-06-06 00:00:00 UTC,3.063496180280406e-07,8118994.769194338,1831865.4767126136
2021-06-07 00:00:00 UTC,3.4263180888183323e-07,9042911.164392803,2052579.8294316845
2021-06-08 00:00:00 UTC,3.004913411866558e-07,8398794.831860283,1950663.1761713882
2021-06-09 00:00:00 UTC,2.3568119724428394e-07,6667005.692664245,1568623.2307941972
2021-06-10 00:00:00 UTC,2.645729268201395e-07,7484957.206675234,1850959.5056578075
2021-06-11 00:00:00 UTC,2.343948352048355e-07,6616317.522557095,1528722.6795037275
2021-06-12 00:00:00 UTC,2.3320717077825558e-07,6694304.098610507,1522434.6485214499
2021-06-13 00:00:00 UTC,1.9976214062464436e-07,5958081.374053524,1217393.3865727151
2021-06-14 00:00:00 UTC,1.8187802082335462e-07,5437923.938251284,1236093.4570062247
2021-06-15 00:00:00 UTC,1.8429119882536163e-07,5613539.025480358,1198027.1774720822
2021-06-16 00:00:00 UTC,1.6747772566207716e-07,5131931.770320006,1125557.0634163101
2021-06-17 00:00:00 UTC,1.780696748747315e-07,5609114.319708477,1163256.144735264
2021-06-18 00:00:00 UTC,2.0175121891751277e-07,6403342.3054107,1368447.9662786159
2021-06-19 00:00:00 UTC,1.7430909024231666e-07,5610324.052674607,1199922.827038587
2021-06-20 00:00:00 UTC,1.937214761056742e-07,6307105.8356587915,1095031.6483107044
2021-06-21 00:00:00 UTC,1.927295256204379e-07,6309268.340798649,1164819.0193005493
2021-06-22 00:00:00 UTC,1.5327026839149687e-07,5217705.230438378,998623.3456524519
2021-06-23 00:00:00 UTC,1.2979021284289617e-07,4388898.065260836,838847.7820415135
2021-06-24 00:00:00 UTC,1.399027709304103e-07,4787846.629390223,787988.51449726
2021-06-25 00:00:00 UTC,2.508649867460912e-07,8883235.198006809,1667052.0107686492
2021-06-26 00:00:00 UTC,2.8000504292157766e-07,9629540.448272882,2179480.2913318663
2021-06-27 00:00:00 UTC,2.3025638672882383e-07,7897151.331136368,1363399.800854084
2021-06-28 00:00:00 UTC,2.2650409580548844e-07,7819705.7759240465,1351636.3775356335
2021-06-29 00:00:00 UTC,2.508362421565157e-07,8622245.939848838,1493513.8057452457
2021-06-30 00:00:00 UTC,2.687241239076322e-07,9285952.896221187,1593536.969462394
2021-07-01 00:00:00 UTC,2.0546464681724535e-07,7065248.230700277,1431178.5925585344
2021-07-02 00:00:00 UTC,2.0572062694809955e-07,7057185.535608854,150078.33497174937
2021-07-03 00:00:00 UTC,1.899692437492293e-07,6530881.9916047985,104244.73952864789
2021-07-04 00:00:00 UTC,1.772245256864492e-07,6092736.068393327,232989.63729238827
2021-07-05 00:00:00 UTC,1.9946663418360441e-07,6846900.055680402,51486.4589195147
2021-07-06 00:00:00 UTC,1.6104606234004753e-07,5536542.692899712,46060.356622364
2021-07-07 00:00:00 UTC,1.6624749152374358e-07,5596846.931958535,34788.034002183456
2021-07-08 00:00:00 UTC,1.8990005963946506e-07,6378538.393250888,65927.91741153858
2021-07-09 00:00:00 UTC,1.9839242465233332e-07,6821824.289641954,60042.29500814567
2021-07-10 00:00:00 UTC,1.818628588474905e-07,6215379.580668893,34794.00294200365
2021-07-11 00:00:00 UTC,1.7360802743583513e-07,6010356.36389285,43758.931513552976
2021-07-12 00:00:00 UTC,1.912366714464914e-07,6574454.417121409,99285.5864876888
2021-07-13 00:00:00 UTC,1.8230328845490685e-07,6278277.256280543,116986.09755958882
2021-07-14 00:00:00 UTC,1.6899603477416745e-07,5809851.839049108,45755.59012947329
2021-07-15 00:00:00 UTC,1.439660794227482e-07,4970546.6093997555,42614.12190287105
2021-07-16 00:00:00 UTC,1.5746460711311568e-07,5337551.9327014405,58393.11646359695
2021-07-17 00:00:00 UTC,1.4938264394227244e-07,5108207.226787413,60406.84187923906
2021-07-18 00:00:00 UTC,1.4454383005671112e-07,4973410.992421593,38067.16766996629
2021-07-19 00:00:00 UTC,1.3141705804638942e-07,4509510.581318317,36716.569794122166
2021-07-20 00:00:00 UTC,1.2680720107877332e-07,4478643.521785729,53088.19723977198
2021-07-21 00:00:00 UTC,1.1738755877368413e-07,4042776.040485276,55371.416948161845
2021-07-22 00:00:00 UTC,1.1234050465427673e-07,3853080.297056475,23730.402204585596
2021-07-23 00:00:00 UTC,1.6691987073010047e-07,5738476.167390843,3307.476464317407
2021-07-24 00:00:00 UTC,9.593049834981766e-08,3280585.706514221,128337.19337544598
2021-07-25 00:00:00 UTC,8.928755821033342e-08,3066908.486786284,74767.11511448254
2021-07-26 00:00:00 UTC,7.733129288525582e-08,2686009.676063087,42390.429607596256
2021-07-27 00:00:00 UTC,6.23153408276398e-08,2151767.224196856,82167.04327744016
2021-07-28 00:00:00 UTC,7.784016152789081e-08,2707069.9154366576,53807.03065420678
2021-07-29 00:00:00 UTC,9.085710656700571e-08,3133037.9430307914,45064.9745510215
2021-07-30 00:00:00 UTC,8.866056899777916e-08,2840554.221696251,22973.128745456106
2021-07-31 00:00:00 UTC,8.484954195546495e-08,2923782.6353564477,42434.37553755956
2021-08-01 00:00:00 UTC,8.769754677689858e-08,3014921.3506856947,35177.28938852705
2021-08-02 00:00:00 UTC,8.44279400744865e-08,2901373.428882709,44670.790607843555
2021-08-03 00:00:00 UTC,8.044432066295762e-08,2768700.3579871925,59235.90284221596
2021-08-04 00:00:00 UTC,8.188021959986371e-08,2795461.505336399,29648.65876763261
2021-08-05 00:00:00 UTC,9.283318332361838e-08,3190703.345566128,32196.74805765506
2021-08-06 00:00:00 UTC,9.876222914235432e-08,3436232.3597019776,40525.64793678542
2021-08-07 00:00:00 UTC,1.0013042433873148e-07,3435084.8595164246,30334.110888051793
2021-08-08 00:00:00 UTC,8.895561957618802e-08,3060209.351042586,49103.8825264299
2021-08-09 00:00:00 UTC,7.511328892295983e-08,2577565.97411513,44865.956381770986
2021-08-10 00:00:00 UTC,8.105647485681212e-08,2817040.5332208294,24549.446459871582
2021-08-11 00:00:00 UTC,9.023859017353016e-08,3109890.726615941,25699.920043985898
2021-08-12 00:00:00 UTC,9.475809732416173e-08,3256743.0427117166,37352.55436436714
2021-08-13 00:00:00 UTC,8.730344158027363e-08,3003769.107078569,42868.293264046355
2021-08-14 00:00:00 UTC,8.467311460843963e-08,2909288.0785444146,50730.13951145996
2021-08-15 00:00:00 UTC,8.216477802916436e-08,2743945.7488054945,40634.44863076078
2021-08-16 00:00:00 UTC,7.544608882205777e-08,2582241.4633799074,47507.354852568336
2021-08-17 00:00:00 UTC,8.057526130083026e-08,2788116.8064004914,44466.925210639674
2021-08-18 00:00:00 UTC,7.625511272528171e-08,2624446.906469744,50938.75693448208
2021-08-19 00:00:00 UTC,7.493172123632761e-08,2576049.781343977,38330.91625227652
2021-08-20 00:00:00 UTC,6.30733724515235e-08,2133247.7182780686,47806.29583884554
2021-08-21 00:00:00 UTC,8.746911976841854e-08,3005217.02144009,67382.91046642428
2021-08-22 00:00:00 UTC,1.1674522669840358e-07,4031653.9472961556,66714.7301215885
2021-08-23 00:00:00 UTC,1.1971691942711285e-07,4114972.797307589,29041.455180925608
2021-08-24 00:00:00 UTC,1.740214730323279e-07,5960306.1801072955,247519.97301010412
2021-08-25 00:00:00 UTC,1.434023847790907e-07,4909508.601422279,208624.86475873622
2021-08-26 00:00:00 UTC,1.5597831046384428e-07,5372728.345669718,59137.4704067447
2021-08-27 00:00:00 UTC,1.349416037751869e-07,4533253.709005678,44265.17712085046
2021-08-28 00:00:00 UTC,1.346477057789045e-07,4628700.691723134,31486.18335164987
2021-08-29 00:00:00 UTC,1.2701421436365532e-07,4368454.972806933,47928.33489011467
2021-08-30 00:00:00 UTC,1.1502722516392949e-07,3881573.5312971286,27296.653597512366
2021-08-31 00:00:00 UTC,9.614435505633741e-08,3313127.749816676,15373.416777665394
2021-09-01 00:00:00 UTC,9.521923672973417e-08,3272930.658266041,52269.57293112345
2021-09-02 00:00:00 UTC,7.866977013504007e-08,2701361.2636699295,30079.70129021311
2021-09-03 00:00:00 UTC,9.519628510453885e-08,3280783.3988474323,36401.052451266565
2021-09-04 00:00:00 UTC,9.682574296718165e-08,3302348.907324648,33280.79541366554
2021-09-05 00:00:00 UTC,1.0062361329985022e-07,3464564.5856696446,34128.78697233046
2021-09-06 00:00:00 UTC,7.904720275166147e-08,2715495.653293407,13822.367777001578
2021-09-07 00:00:00 UTC,9.83433622998618e-08,3382018.0338263283,49407.95699443981
2021-09-08 00:00:00 UTC,8.634054361169093e-08,2973119.708473008,48870.725567877074
2021-09-09 00:00:00 UTC,6.427055879531594e-08,2212630.899494991,138148.80922717642
2021-09-10 00:00:00 UTC,6.43946457759585e-08,2221210.017652169,76863.80159676832
2021-09-11 00:00:00 UTC,5.6354441109121436e-08,1937388.375732835,48737.46614562614
2021-09-12 00:00:00 UTC,5.8800623555967135e-08,2019718.419716525,29544.06531022958
2021-09-13 00:00:00 UTC,6.830543151056398e-08,2343712.153316467,32408.981248844473
2021-09-14 00:00:00 UTC,8.600855700571033e-08,2964312.7009622054,44821.35548414771
2021-09-15 00:00:00 UTC,7.703643440341425e-08,2648406.9326866684,30686.66227752536
2021-09-16 00:00:00 UTC,7.9506804090239e-08,2739037.355329137,36467.700405580144
2021-09-17 00:00:00 UTC,7.325958245077172e-08,2517184.8982993537,29622.49840137048
2021-09-18 00:00:00 UTC,7.001735842761867e-08,2374025.7652693186,36347.452429629084
2021-09-19 00:00:00 UTC,9.297571969016819e-08,3210815.5967849162,147436.17969580062
2021-09-20 00:00:00 UTC,7.489509233385646e-08,2575737.8128007287,65686.1752190337
2021-09-21 00:00:00 UTC,6.447644755873535e-08,2210077.0330495224,38907.06950100493
2021-09-22 00:00:00 UTC,6.473995290739488e-08,2226460.6376783918,36534.23381180165
2021-09-23 00:00:00 UTC,6.750138504889648e-08,2320041.593628833,13955.001274684622
