snapped_at,price,market_cap,total_volume
2021-03-26 00:00:00 UTC,6.446541746722818e-10,0.0,55004.7571332229
2021-03-27 00:00:00 UTC,6.446541746722818e-10,0.0,55004.7571332229
2021-03-28 00:00:00 UTC,6.798699053592134e-10,0.0,27220.439158271893
2021-03-29 00:00:00 UTC,9.385678430726074e-10,0.0,45813.327844804095
2021-03-30 00:00:00 UTC,7.894554745088598e-10,0.0,44538.91803415923
2021-03-31 00:00:00 UTC,7.957888187436727e-10,0.0,26127.890869352952
2021-04-01 00:00:00 UTC,7.108001561480266e-10,0.0,21019.7999384412
2021-04-02 00:00:00 UTC,7.845320563352025e-10,0.0,24821.503207734193
2021-04-03 00:00:00 UTC,6.861296120782539e-10,0.0,19558.477312102823
2021-04-04 00:00:00 UTC,6.250068458582394e-10,0.0,22821.174349385594
2021-04-05 00:00:00 UTC,6.048077341880814e-10,0.0,19607.98034701161
2021-04-06 00:00:00 UTC,6.093614753895e-10,0.0,19204.881681133655
2021-04-07 00:00:00 UTC,6.011455862199274e-10,0.0,13976.218594978845
2021-04-08 00:00:00 UTC,5.020654116523814e-10,0.0,1183162.9937495233
2021-04-09 00:00:00 UTC,4.681597453673439e-10,0.0,865224.1575532965
2021-04-10 00:00:00 UTC,4.543564469490057e-10,0.0,957363.8681263118
2021-04-11 00:00:00 UTC,3.356019903618873e-10,0.0,58.02926018448219
2021-04-12 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-13 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-14 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-15 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-16 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-17 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-18 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-19 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-20 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-21 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-22 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-23 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-24 00:00:00 UTC,2.2232348948358024e-13,0.0,0.0
2021-04-25 00:00:00 UTC,1.9941253968071625e-09,0.0,2048272.7812997594
2021-04-26 00:00:00 UTC,1.8902461716029634e-09,0.0,2268593.6731641325
2021-04-27 00:00:00 UTC,1.6843248596539372e-09,0.0,1587558.7175059936
2021-04-28 00:00:00 UTC,1.5082293632416862e-09,0.0,1641717.9302175208
2021-04-29 00:00:00 UTC,1.4723481097394675e-09,0.0,1313683.7981401817
2021-04-30 00:00:00 UTC,1.637178875618193e-09,0.0,1371764.1801287755
2021-05-01 00:00:00 UTC,1.7439700716660179e-09,0.0,1265281.9934370173
2021-05-02 00:00:00 UTC,1.6708774764580567e-09,0.0,854867.1129886259
2021-05-03 00:00:00 UTC,1.6159706263927903e-09,0.0,1012729.8043004645
2021-05-04 00:00:00 UTC,1.5808340647967167e-09,0.0,974526.8641737234
2021-05-05 00:00:00 UTC,1.7519404754971413e-09,0.0,1109178.0923413045
2021-05-06 00:00:00 UTC,1.874570125488646e-09,0.0,1333193.1968329328
2021-05-07 00:00:00 UTC,1.8747788661873473e-09,0.0,1590374.4448499614
2021-05-08 00:00:00 UTC,1.6787476326214745e-09,0.0,740075.4817524347
2021-05-09 00:00:00 UTC,2.6151752780860903e-09,0.0,4750441.661300628
2021-05-10 00:00:00 UTC,3.0188482045599713e-09,0.0,7228317.471763143
2021-05-11 00:00:00 UTC,6.203375401108122e-09,0.0,15492986.227432972
2021-05-12 00:00:00 UTC,1.431831333330006e-08,0.0,65596886.17620905
2021-05-13 00:00:00 UTC,2.2613571971896243e-08,0.0,70704960.10816051
2021-05-14 00:00:00 UTC,1.9835257326793766e-08,0.0,122776278.75302319
2021-05-15 00:00:00 UTC,2.0252121080695086e-08,0.0,39781319.501898415
2021-05-16 00:00:00 UTC,1.7044093327971002e-08,0.0,26069714.074675545
2021-05-17 00:00:00 UTC,1.2209000899685728e-08,0.0,14271084.924221996
2021-05-18 00:00:00 UTC,1.311473038565124e-08,0.0,21110051.56509121
2021-05-19 00:00:00 UTC,1.6891553920391906e-08,0.0,7467725.40723861
2021-05-20 00:00:00 UTC,1.0970905458754e-08,0.0,17006428.9638669
