snapped_at,price,market_cap,total_volume
2022-03-19 00:00:00 UTC,6.596318117861199e-08,0.0,2065633.5042289519
2022-03-20 00:00:00 UTC,6.596318117861199e-08,0.0,2065633.5042289519
2022-03-21 00:00:00 UTC,7.98175606208792e-08,0.0,1529230.0523042346
2022-03-22 00:00:00 UTC,1.2945271335619097e-07,0.0,4738329.496223815
2022-03-23 00:00:00 UTC,1.3528424802001376e-07,0.0,6520568.077483933
2022-03-24 00:00:00 UTC,1.5216698891423577e-07,0.0,1787618.5604375799
2022-03-25 00:00:00 UTC,1.6301024100392722e-07,0.0,1435659.5394876124
2022-03-26 00:00:00 UTC,1.5001856470676476e-07,0.0,1556247.9411749146
2022-03-27 00:00:00 UTC,1.4356120857164457e-07,0.0,865845.949048931
2022-03-28 00:00:00 UTC,1.2285395961141158e-07,0.0,2193479.6338245403
2022-03-29 00:00:00 UTC,1.8311112192964774e-07,0.0,6771812.164962761
2022-03-30 00:00:00 UTC,1.4285337540503945e-07,0.0,14760475.754741343
2022-03-31 00:00:00 UTC,1.4721222702861728e-07,0.0,3254619.2003179123
2022-04-01 00:00:00 UTC,1.54024966197167e-07,0.0,7683481.299182648
2022-04-02 00:00:00 UTC,2.1346392446385247e-07,0.0,7754153.255719852
2022-04-03 00:00:00 UTC,2.0106815591869913e-07,0.0,24341010.465113364
2022-04-04 00:00:00 UTC,3.138223864963165e-07,0.0,78550708.65571004
2022-04-05 00:00:00 UTC,2.819842692709574e-07,0.0,27158051.28179918
2022-04-06 00:00:00 UTC,2.412984377845093e-07,0.0,15383266.436272161
2022-04-07 00:00:00 UTC,2.283660105249032e-07,138760821.72060144,12735747.249707878
2022-04-08 00:00:00 UTC,2.2941993499933783e-07,137218739.66734734,4661095.813698695
2022-04-09 00:00:00 UTC,2.5221150308609683e-07,150055195.38539076,12556958.69687788
2022-04-10 00:00:00 UTC,2.4150241106882047e-07,144749955.35085714,3730791.12110363
2022-04-11 00:00:00 UTC,2.483597779106798e-07,149189621.18410438,5809847.473528025
2022-04-12 00:00:00 UTC,1.9051441819504994e-07,114541660.0509816,3371374.6136847474
2022-04-13 00:00:00 UTC,1.970252533321672e-07,117385644.09863542,4447021.047816098
2022-04-14 00:00:00 UTC,1.9498386204408793e-07,116934878.94488369,3918770.680007728
2022-04-15 00:00:00 UTC,1.986593309514811e-07,119123377.32460923,6769969.572552718
2022-04-16 00:00:00 UTC,1.7657061566362824e-07,104061155.97242257,5132176.449698044
2022-04-17 00:00:00 UTC,1.569778196376937e-07,94291105.04376327,5796198.549830739
2022-04-18 00:00:00 UTC,1.418581332695762e-07,86265698.12595285,4347787.62006646
2022-04-19 00:00:00 UTC,2.163759002490686e-07,129869825.61892454,19140470.42191117
2022-04-20 00:00:00 UTC,2.4394418891650177e-07,141635567.73359904,8728191.063479174
2022-04-21 00:00:00 UTC,2.770435290073564e-07,164960845.47598293,11752288.725850487
2022-04-22 00:00:00 UTC,2.5555502101784946e-07,159839996.73916858,6045831.83310848
2022-04-23 00:00:00 UTC,2.141224942610117e-07,128487313.62510435,5614775.8897992205
2022-04-24 00:00:00 UTC,2.1286904945604097e-07,127766198.70216177,4589084.2779437015
2022-04-25 00:00:00 UTC,2.0895927053868893e-07,126268592.21563047,5601782.8055239925
2022-04-26 00:00:00 UTC,1.9006214043716612e-07,114066819.39647663,7865167.56369008
2022-04-27 00:00:00 UTC,1.908086102133045e-07,114466362.29354051,5783163.525206117
2022-04-28 00:00:00 UTC,2.0183846289956497e-07,121070491.56103978,6452200.905931032
2022-04-29 00:00:00 UTC,2.1406408772813245e-07,128221097.37571862,9878160.693524772
2022-04-30 00:00:00 UTC,1.8836120583620403e-07,113246407.61888658,5418603.223664428
2022-05-01 00:00:00 UTC,1.793354338985552e-07,108435302.29695456,6491959.4811628135
2022-05-02 00:00:00 UTC,1.766539380588258e-07,105203096.06428812,4734934.254102833
2022-05-03 00:00:00 UTC,1.822372667470493e-07,109303343.65287384,6629818.738332562
2022-05-04 00:00:00 UTC,1.7500336650631995e-07,105066256.33001484,4786693.558517664
2022-05-05 00:00:00 UTC,1.822888328369366e-07,108275365.59020501,4630032.341229872
2022-05-06 00:00:00 UTC,1.6376853987749054e-07,98425150.17477271,5387303.689913058
2022-05-07 00:00:00 UTC,1.5248583119282253e-07,91548285.14609349,5854969.953134187
2022-05-08 00:00:00 UTC,1.3715721143621364e-07,82375910.64856774,4188684.925373382
2022-05-09 00:00:00 UTC,1.4733568515099875e-07,88263150.44674563,4810524.780440988
2022-05-10 00:00:00 UTC,1.1525249933875327e-07,69670694.66824009,6135098.243878044
2022-05-11 00:00:00 UTC,9.797673351689453e-08,58789222.97580944,10477720.900371308
2022-05-12 00:00:00 UTC,6.171663852505274e-08,39856166.524375394,4826838.790664469
2022-05-13 00:00:00 UTC,4.614489633463171e-08,28049583.176520325,3894030.909352978
2022-05-14 00:00:00 UTC,5.240041875113879e-08,31486925.169051036,4227482.740631015
2022-05-15 00:00:00 UTC,5.4262807358845795e-08,32484826.057539742,3392216.348349115
2022-05-16 00:00:00 UTC,5.767109939878163e-08,34558246.902821615,3053948.532039482
2022-05-17 00:00:00 UTC,5.759309430221154e-08,34882578.26722544,3129947.0822057044
2022-05-18 00:00:00 UTC,6.93196688066152e-08,41518899.28431973,4679557.105966611
2022-05-19 00:00:00 UTC,6.784110903068998e-08,40742051.69442359,3930796.2698976942
2022-05-20 00:00:00 UTC,6.712426932174594e-08,40224916.06645294,3071214.5513063613
2022-05-21 00:00:00 UTC,6.616438800792226e-08,39490078.13122531,2754692.1830335576
2022-05-22 00:00:00 UTC,6.312299338498272e-08,37929461.05422201,3057972.5934682162
2022-05-23 00:00:00 UTC,5.9054558446755656e-08,35492935.1891734,3007689.362217018
2022-05-24 00:00:00 UTC,5.5390184999530715e-08,33455072.39634484,3219500.0665708166
2022-05-25 00:00:00 UTC,5.041333967819758e-08,30216526.144605484,3510154.5596530535
2022-05-26 00:00:00 UTC,5.050015440496731e-08,30332200.22989079,2835176.168294707
2022-05-27 00:00:00 UTC,3.886200758979355e-08,23558040.7996195,4193314.3933034725
2022-05-28 00:00:00 UTC,3.5186501303129526e-08,21105985.199176893,4264858.235188154
2022-05-29 00:00:00 UTC,3.638209372294335e-08,21929935.13821566,2985377.3013928425
2022-05-30 00:00:00 UTC,4.420127841536674e-08,26272297.856521823,4927302.656309151
2022-05-31 00:00:00 UTC,7.496620847058403e-08,45002571.32568604,9741555.519758316
2022-06-01 00:00:00 UTC,6.923520924082404e-08,41587694.60337434,4428273.694431775
