snapped_at,price,market_cap,total_volume
2016-07-18 00:00:00 UTC,0.95782,0,24966
2016-07-19 00:00:00 UTC,1.28181,0,1026280
2016-07-20 00:00:00 UTC,1.3224,0,365039
2016-07-21 00:00:00 UTC,1.27457,0,133292
2016-07-22 00:00:00 UTC,1.20039,0,120165
2016-07-23 00:00:00 UTC,1.10239,0,119919
2016-07-24 00:00:00 UTC,0.983932,0,71467
2016-07-25 00:00:00 UTC,0.888366,0,127824
2016-07-26 00:00:00 UTC,0.856097,0,74061
2016-07-27 00:00:00 UTC,0.864803,0,77874
2016-07-28 00:00:00 UTC,0.915755,0,45441
2016-07-29 00:00:00 UTC,0.888981,0,74690
2016-07-30 00:00:00 UTC,0.865136,0,32402
2016-07-31 00:00:00 UTC,0.811213,0,29757
2016-08-01 00:00:00 UTC,0.790772,0,41139
2016-08-02 00:00:00 UTC,0.82524,0,124355
2016-08-03 00:00:00 UTC,0.860523,0,59967
2016-08-04 00:00:00 UTC,0.912851,0,50389
2016-08-05 00:00:00 UTC,0.863566,0,26504
2016-08-06 00:00:00 UTC,0.87571,0,25980
2016-08-07 00:00:00 UTC,0.876629,0,35409
2016-08-08 00:00:00 UTC,0.897954,0,130596
2016-08-09 00:00:00 UTC,0.869823,0,47192
2016-08-10 00:00:00 UTC,0.839648,0,43764
2016-08-11 00:00:00 UTC,0.931567,0,60254
2016-08-12 00:00:00 UTC,0.887215,0,60301
2016-08-13 00:00:00 UTC,0.910346,0,56828
2016-08-14 00:00:00 UTC,0.864988,0,24710
2016-08-15 00:00:00 UTC,0.893428,0,29760
2016-08-16 00:00:00 UTC,0.943478,0,36540
2016-08-17 00:00:00 UTC,0.947919,0,100874
2016-08-18 00:00:00 UTC,0.964457,0,41260
2016-08-19 00:00:00 UTC,0.931741,0,44208
2016-08-20 00:00:00 UTC,0.928627,0,31996
2016-08-21 00:00:00 UTC,0.897521,0,38720
2016-08-22 00:00:00 UTC,0.898796,0,39037
2016-08-23 00:00:00 UTC,0.880809,0,42954
2016-08-24 00:00:00 UTC,0.917808,0,50749
2016-08-25 00:00:00 UTC,0.895051,0,39268
2016-08-26 00:00:00 UTC,0.886311,0,68290
2016-08-27 00:00:00 UTC,0.923764,0,86731
2016-08-28 00:00:00 UTC,0.887159,0,26496
2016-08-29 00:00:00 UTC,0.888771,0,29342
2016-08-30 00:00:00 UTC,0.874552,0,47342
2016-08-31 00:00:00 UTC,0.874067,0,33456
2016-09-01 00:00:00 UTC,0.860905,0,20754
2016-09-02 00:00:00 UTC,0.870106,0,24655
2016-09-03 00:00:00 UTC,0.842279,0,34458
2016-09-04 00:00:00 UTC,0.836445,0,20863
2016-09-05 00:00:00 UTC,0.846542,0,25804
2016-09-06 00:00:00 UTC,0.772875,0,15110
2016-09-07 00:00:00 UTC,0.788418,0,15653
2016-09-08 00:00:00 UTC,0.768246,0,34618
2016-09-09 00:00:00 UTC,0.771247,0,27046
2016-09-10 00:00:00 UTC,0.791734,0,31525
2016-09-11 00:00:00 UTC,0.796385,0,22012
2016-09-12 00:00:00 UTC,0.776745,0,19228
2016-09-13 00:00:00 UTC,0.845004,0,39730
2016-09-14 00:00:00 UTC,0.863252,0,15591
2016-09-15 00:00:00 UTC,0.833391,0,13816
2016-09-16 00:00:00 UTC,0.830699,0,10039
2016-09-17 00:00:00 UTC,0.857872,0,34976
2016-09-18 00:00:00 UTC,0.856629,0,10123
2016-09-19 00:00:00 UTC,0.931993,0,26435
2016-09-20 00:00:00 UTC,0.908553,0,37465
2016-09-21 00:00:00 UTC,0.86617,0,22450
2016-09-22 00:00:00 UTC,0.890878,0,15469
2016-09-23 00:00:00 UTC,0.901346,0,22248
2016-09-24 00:00:00 UTC,0.888507,0,12251
2016-09-25 00:00:00 UTC,0.910506,0,24298
2016-09-26 00:00:00 UTC,0.929047,0,25547
2016-09-27 00:00:00 UTC,0.91467,0,25372
2016-09-28 00:00:00 UTC,0.894387,0,25698
2016-09-29 00:00:00 UTC,0.899178,0,12315
2016-09-30 00:00:00 UTC,0.894325,2022546,32170
2016-10-01 00:00:00 UTC,0.909992,2050727,17389
2016-10-02 00:00:00 UTC,0.919756,2064740,27687
2016-10-03 00:00:00 UTC,0.923292,2063188,28000
2016-10-04 00:00:00 UTC,0.922885,2053720,39482
2016-10-05 00:00:00 UTC,0.926307,2058997,22697
2016-10-06 00:00:00 UTC,0.917274,2042696,20269
2016-10-07 00:00:00 UTC,0.946016,2094134,27559
2016-10-08 00:00:00 UTC,0.949185,2097305,25326
2016-10-09 00:00:00 UTC,0.95361,2091134,16572
2016-10-10 00:00:00 UTC,0.945896,2064737,35964
2016-10-11 00:00:00 UTC,0.944494,2040049,28175
2016-10-12 00:00:00 UTC,0.933262,2013914,32897
2016-10-13 00:00:00 UTC,0.913315,1959998,20078
2016-10-14 00:00:00 UTC,0.918699,1953937,14397
2016-10-15 00:00:00 UTC,0.943486,1997975,10385
2016-10-16 00:00:00 UTC,0.944433,1972173,14772
2016-10-17 00:00:00 UTC,0.943287,1965273,26967
2016-10-18 00:00:00 UTC,0.919903,1902518,32140
2016-10-19 00:00:00 UTC,0.916096,1875685,21748
2016-10-20 00:00:00 UTC,0.929311,1897913,16578
2016-10-21 00:00:00 UTC,0.919988,1866578,25407
2016-10-22 00:00:00 UTC,0.958598,1911894,19184
2016-10-23 00:00:00 UTC,0.938273,1858380,24121
2016-10-24 00:00:00 UTC,0.941749,1846974,8233
2016-10-25 00:00:00 UTC,0.954074,1863213,12346
2016-10-26 00:00:00 UTC,0.960561,1855205,19594
2016-10-27 00:00:00 UTC,0.921042,1771477,22041
2016-10-28 00:00:00 UTC,0.854303,1629716,15003
2016-10-29 00:00:00 UTC,0.875169,1661591,12615
2016-10-30 00:00:00 UTC,0.80168,1515193,30320
2016-10-31 00:00:00 UTC,0.801146,1504407,18864
2016-11-01 00:00:00 UTC,0.809496,1512366,9133
2016-11-02 00:00:00 UTC,0.800087,1485378,18626
2016-11-03 00:00:00 UTC,0.81748,1514259,35198
2016-11-04 00:00:00 UTC,0.843365,1554007,16097
2016-11-05 00:00:00 UTC,0.917495,1647502,30057
2016-11-06 00:00:00 UTC,0.925035,1654174,15348
2016-11-07 00:00:00 UTC,0.886575,1545926,19448
2016-11-08 00:00:00 UTC,0.953223,1651317,14389
2016-11-09 00:00:00 UTC,0.949916,1630491,16879
2016-11-10 00:00:00 UTC,0.959425,1635733,10928
2016-11-11 00:00:00 UTC,0.969124,1349291,14109
2016-11-12 00:00:00 UTC,0.976988,1342992,17192
2016-11-13 00:00:00 UTC,0.974574,1333504,10674
2016-11-14 00:00:00 UTC,0.983474,1334861,2097
2016-11-15 00:00:00 UTC,0.996577,1349069,2912
2016-11-16 00:00:00 UTC,0.982857,1320512,18715
2016-11-17 00:00:00 UTC,0.981649,1311000,8542
2016-11-18 00:00:00 UTC,1.00407,1338529,9687
2016-11-19 00:00:00 UTC,1.00296,1331743,8591
2016-11-20 00:00:00 UTC,1.00236,1319799,8994
2016-11-21 00:00:00 UTC,1.00586,1318121,5933
2016-11-22 00:00:00 UTC,0.99959,1307712,6457
2016-11-23 00:00:00 UTC,0.987833,1287776,4562
2016-11-24 00:00:00 UTC,0.996469,1285434,6949
2016-11-25 00:00:00 UTC,1.00083,1286526,8350
2016-11-26 00:00:00 UTC,1.00307,1284123,4367
2016-11-27 00:00:00 UTC,0.999146,1274442,18302
2016-11-28 00:00:00 UTC,1.00198,1252921,10598
2016-11-29 00:00:00 UTC,1.0056,1252709,7175
2016-11-30 00:00:00 UTC,0.97957,1214580,8705
2016-12-01 00:00:00 UTC,1.02463,1271282,4181
2016-12-02 00:00:00 UTC,0.9918,1231401,6001
2016-12-03 00:00:00 UTC,1.03947,1288679,10596
2016-12-04 00:00:00 UTC,1.03546,1283316,3874
2016-12-05 00:00:00 UTC,1.01813,1262970,11945
2016-12-06 00:00:00 UTC,0.99294,1232766,25855
2016-12-07 00:00:00 UTC,1.00196,1243101,6502
2016-12-08 00:00:00 UTC,1.01027,1250249,13156
2016-12-09 00:00:00 UTC,0.995698,1232071,5936
2016-12-10 00:00:00 UTC,0.992573,1224324,6725
2016-12-11 00:00:00 UTC,0.995188,1225506,6339
2016-12-12 00:00:00 UTC,0.996682,1222705,6187
2016-12-13 00:00:00 UTC,1.01604,1245225,10654
2016-12-14 00:00:00 UTC,1.01573,1240946,8115
2016-12-15 00:00:00 UTC,1.00925,1231487,6699
2016-12-16 00:00:00 UTC,1.0039,1224503,4748
2016-12-17 00:00:00 UTC,1.00193,1222204,3245
2016-12-18 00:00:00 UTC,0.998478,1213826,2486
2016-12-19 00:00:00 UTC,1.00028,1214399,2202
2016-12-20 00:00:00 UTC,0.998409,1211309,5936
2016-12-21 00:00:00 UTC,1.00758,1222099,7697
2016-12-22 00:00:00 UTC,0.996891,1207840,6081
2016-12-23 00:00:00 UTC,0.989638,1197004,5196
2016-12-24 00:00:00 UTC,0.994894,1202053,4822
2016-12-25 00:00:00 UTC,1.00596,1215423,5435
2016-12-26 00:00:00 UTC,1.0027,1207215,2927
2016-12-27 00:00:00 UTC,1.0163,1223917,6357
2016-12-28 00:00:00 UTC,0.998661,1198054,5560
2016-12-29 00:00:00 UTC,1.00473,1205462,5116
2016-12-30 00:00:00 UTC,0.999348,1198763,4709
2016-12-31 00:00:00 UTC,1.00576,1205375,2520
2017-01-01 00:00:00 UTC,1.01911,1219316,4873
2017-01-02 00:00:00 UTC,0.980731,1174514,7141
2017-01-03 00:00:00 UTC,0.983182,1175888,3822
2017-01-04 00:00:00 UTC,1.00323,1198941,6388
2017-01-05 00:00:00 UTC,0.980531,1171022,12281
2017-01-06 00:00:00 UTC,0.998713,1191783,7979
2017-01-07 00:00:00 UTC,0.99172,1183722,6246
2017-01-08 00:00:00 UTC,0.974505,1163174,4045
2017-01-09 00:00:00 UTC,0.988128,1179434,2361
2017-01-10 00:00:00 UTC,0.98024,1165267,4824
2017-01-11 00:00:00 UTC,1.01868,1209486,7758
2017-01-12 00:00:00 UTC,1.00726,1196221,4341
2017-01-13 00:00:00 UTC,0.99243,1178595,4873
2017-01-14 00:00:00 UTC,0.989697,1175309,1519
2017-01-15 00:00:00 UTC,1.00773,1196153,4144
2017-01-16 00:00:00 UTC,1.02973,1221672,13101
2017-01-17 00:00:00 UTC,0.99202,1175741,15496
2017-01-18 00:00:00 UTC,0.992713,1174389,7519
2017-01-19 00:00:00 UTC,0.996421,1177335,2730
2017-01-20 00:00:00 UTC,0.995697,1169991,3633
2017-01-21 00:00:00 UTC,1.00253,1177595,2654
2017-01-22 00:00:00 UTC,0.991784,1160999,4819
2017-01-23 00:00:00 UTC,0.996457,1165955,1552
2017-01-24 00:00:00 UTC,0.987214,1151804,1855
2017-01-25 00:00:00 UTC,1.0013,1169031,2495
2017-01-26 00:00:00 UTC,1.00973,1177573,1990
2017-01-27 00:00:00 UTC,1.00579,1172970,2218
2017-01-28 00:00:00 UTC,1.0486,1218308,1904
2017-01-29 00:00:00 UTC,1.00928,1172792,4927
2017-01-30 00:00:00 UTC,1.01528,1180433,1334
2017-01-31 00:00:00 UTC,1.02184,1186554,3052
2017-02-01 00:00:00 UTC,1.03714,1205052,5872
2017-02-02 00:00:00 UTC,1.00251,1166310,5661
2017-02-03 00:00:00 UTC,1.00574,1172093,2203
2017-02-04 00:00:00 UTC,1.02676,1197915,3080
2017-02-05 00:00:00 UTC,1.01796,1147255,4839
2017-02-06 00:00:00 UTC,1.01055,1139038,2126
2017-02-07 00:00:00 UTC,0.999816,1123106,4248
2017-02-08 00:00:00 UTC,1.00925,1135633,6560
2017-02-09 00:00:00 UTC,0.9364,1055311,5982
2017-02-10 00:00:00 UTC,1.007,1135302,10105
2017-02-11 00:00:00 UTC,0.995685,1122045,9771
2017-02-12 00:00:00 UTC,0.992823,1119609,1697
2017-02-13 00:00:00 UTC,0.98856,1115735,8173
2017-02-14 00:00:00 UTC,0.990332,1118968,5350
2017-02-15 00:00:00 UTC,0.988659,1115199,2679
2017-02-16 00:00:00 UTC,1.00036,1126270,3297
2017-02-17 00:00:00 UTC,0.991007,1116096,3829
2017-02-18 00:00:00 UTC,0.976303,1097693,4105
2017-02-19 00:00:00 UTC,0.981825,1102605,2880
2017-02-20 00:00:00 UTC,0.991334,1110693,5355
2017-02-21 00:00:00 UTC,0.986732,1101687,9866
2017-02-22 00:00:00 UTC,0.989735,1103063,8702
2017-02-23 00:00:00 UTC,0.989685,1101372,13446
2017-02-24 00:00:00 UTC,0.984183,1093753,21733
2017-02-25 00:00:00 UTC,0.990821,1099526,10198
2017-02-26 00:00:00 UTC,0.983124,1089395,5217
2017-02-27 00:00:00 UTC,0.995842,1101375,2583
2017-02-28 00:00:00 UTC,0.987958,1091684,4057
2017-03-01 00:00:00 UTC,0.988731,1092806,15746
2017-03-02 00:00:00 UTC,0.987279,1088879,15220
2017-03-03 00:00:00 UTC,0.981895,1079914,6065
2017-03-04 00:00:00 UTC,1.00842,1107001,7479
2017-03-05 00:00:00 UTC,0.988253,1082750,5496
2017-03-06 00:00:00 UTC,0.992423,1085335,5334
2017-03-07 00:00:00 UTC,1.00229,1092357,18710
